first two values in list are coordinates of point 1
next two are for second point and so on
last valus in the steps taken to reach a saturated grid state


[33, 21, 13, 19, 43, 47]	43
[24, 19, 10, 31, 31, 9]	93
[27, 9, 10, 29, 40, 47]	36
[27, 11, 10, 29, 41, 41]	36
[41, 44, 10, 29, 23, 8]	36
[41, 45, 10, 29, 23, 8]	36
[41, 45, 10, 29, 23, 10]	36
[41, 45, 10, 29, 21, 10]	36
[41, 46, 10, 29, 21, 10]	36
[41, 44, 10, 29, 21, 10]	36
[41, 43, 10, 29, 21, 10]	36
[40, 46, 10, 29, 21, 10]	36
[40, 44, 10, 29, 21, 10]	36
[40, 45, 10, 29, 21, 10]	36
[41, 43, 10, 29, 23, 10]	36
[41, 46, 10, 29, 23, 10]	36
[41, 46, 10, 29, 23, 9]	36
[41, 45, 10, 29, 23, 9]	36
[41, 45, 10, 29, 25, 9]	36
[41, 45, 10, 29, 25, 8]	36
[41, 42, 10, 29, 25, 8]	36
[41, 39, 10, 29, 25, 8]	36
[41, 39, 10, 29, 25, 9]	36
[41, 40, 10, 29, 25, 9]	36
[41, 42, 10, 29, 25, 9]	36
[41, 40, 10, 29, 25, 8]	36
[41, 43, 10, 29, 25, 8]	36
[41, 43, 10, 29, 25, 9]	36
[41, 45, 10, 29, 25, 10]	36
[41, 45, 10, 29, 25, 13]	36
[41, 43, 10, 29, 25, 13]	36
[41, 42, 10, 29, 25, 13]	36
[41, 42, 10, 27, 25, 13]	36
[41, 44, 10, 29, 25, 13]	36
[41, 44, 10, 28, 25, 13]	36
[41, 42, 10, 28, 25, 13]	36
[41, 42, 10, 28, 25, 12]	36
[41, 44, 10, 28, 25, 12]	36
[41, 44, 10, 28, 25, 14]	36
[41, 44, 10, 26, 25, 14]	36
[41, 46, 10, 28, 25, 14]	36
[41, 43, 10, 28, 25, 14]	36
[41, 45, 10, 28, 25, 14]	36
[41, 45, 10, 28, 25, 12]	36
[41, 45, 10, 28, 25, 13]	36
[41, 43, 10, 28, 25, 13]	36
[41, 41, 10, 28, 25, 12]	36
[41, 46, 10, 28, 25, 12]	36
[41, 46, 10, 28, 25, 13]	36
[44, 42, 10, 28, 25, 12]	36
[44, 40, 10, 28, 25, 12]	36
[44, 40, 10, 28, 25, 13]	36
[44, 40, 10, 27, 25, 13]	36
[44, 42, 10, 27, 25, 13]	36
[44, 42, 10, 27, 25, 14]	36
[44, 42, 10, 27, 26, 14]	36
[44, 43, 10, 27, 26, 14]	36
[44, 40, 10, 27, 26, 14]	36
[44, 40, 10, 27, 26, 15]	36
[44, 42, 10, 27, 26, 15]	36
[44, 41, 10, 27, 26, 15]	36
[44, 42, 10, 26, 26, 15]	36
[44, 43, 10, 26, 26, 15]	36
[44, 41, 10, 26, 26, 15]	36
[44, 41, 10, 28, 26, 15]	36
[44, 42, 10, 28, 26, 15]	36
[44, 40, 10, 28, 26, 15]	36
[44, 40, 10, 28, 28, 15]	36
[44, 40, 10, 28, 28, 17]	36
[44, 40, 10, 26, 28, 17]	36
[44, 40, 10, 27, 28, 17]	36
[44, 43, 10, 28, 28, 17]	36
[44, 41, 10, 28, 28, 17]	36
[44, 41, 10, 28, 28, 15]	36
[44, 42, 10, 28, 28, 15]	36
[42, 42, 10, 28, 28, 15]	36
[42, 42, 10, 28, 28, 16]	36
[42, 43, 10, 28, 28, 16]	36
[41, 43, 10, 28, 28, 16]	36
[41, 43, 10, 28, 28, 15]	36
[41, 46, 10, 28, 28, 15]	36
[41, 42, 10, 28, 28, 15]	36
[41, 42, 10, 28, 28, 16]	36
